,Victims,Crime_Type,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Latitude,Longitude,Police District Number,Second,Minute,Hour,Week,Day,Month,Year
8018,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Street - In vehicle,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150638641,-77.203963812,6D,0,27,10,9,25,2,2020
8375,1,Crime Against Property,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,108.0,8600.0,N,COLESVILLE,E,RD,38.996081210999996,-77.02813565,3D,0,0,11,50,12,12,2019
8561,1,Crime Against Person,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,33,20,35,30,8,2019
8628,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,148.0,11200.0,S,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,0,14,27,10,7,2016
9727,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,E,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,15,12,34,25,8,2019
9747,2,Crime Against Person,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,E,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,22,7,36,5,9,2019
9977,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,N,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,0,11,34,23,8,2019
10075,1,Crime Against Property,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,School/College,G,3G1,93.0,8100.0,E,GEORGIA,E,AVE,38.990644703,-77.026675227,3D,0,56,19,15,6,4,2020
10316,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,5,17,39,29,9,2019
10340,1,Crime Against Society,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,94.0,8100.0,E,GEORGIA,E,AVE,38.990640348,-77.026675328,3D,0,12,2,44,2,11,2019
10625,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,W,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,30,13,40,6,10,2019
10634,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,109.0,8600.0,W,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,38,0,28,13,7,2016
10718,2,Other,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,W,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,39,5,41,8,10,2019
10920,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Street - In vehicle,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.1982954,-77.24489969999999,5D,0,12,12,21,24,5,2020
11288,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,30,18,35,30,8,2019
11471,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.1982954,-77.24489969999999,5D,0,13,15,18,29,4,2020
11539,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,30,17,37,9,9,2019
11997,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,W,RUSSELL,W,AVE,39.150638641,-77.203963812,6D,0,35,10,10,2,3,2020
12106,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11200.0,N,GEORGIA,W,AVE,39.038667771,-77.050881629,4D,0,42,10,18,29,4,2020
12153,1,Crime Against Society,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Parking Lot - Commercial,G,3G1,94.0,8100.0,W,GEORGIA,W,AVE,38.990644703,-77.026675227,3D,0,28,20,10,3,3,2020
12178,1,Other,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Parking Lot - Commercial,G,3G1,94.0,8100.0,E,GEORGIA,W,AVE,38.990644703,-77.026675227,3D,0,28,20,10,3,3,2020
12202,1,Crime Against Person,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,41,0,37,14,9,2019
12237,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,S,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,0,14,37,13,9,2019
12239,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,S,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,10,17,28,13,7,2016
12360,1,Other,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,354.0,11200.0,W,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,0,0,14,8,4,2017
12377,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,W,VEIRS MILL,W,RD,39.037383899,-77.051682322,4D,0,34,16,16,14,4,2020
12461,1,Crime Against Person,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,W,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,18,18,37,11,9,2019
12631,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,41,18,40,5,10,2019
13043,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,15,3,44,3,11,2019
13191,1,Other,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,W,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,0,19,38,16,9,2019
13312,1,Other,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Residence - Apartment/Condo,G,3G1,94.0,8100.0,E,GEORGIA,E,AVE,38.990640348,-77.026675328,3D,0,0,0,24,12,6,2017
13878,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20901.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,W,AVE,39.039814085,-76.990643605,3D,0,30,18,38,18,9,2019
14533,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20874.0,MCPD,Street - In vehicle,M,5M1,472.0,20900.0,W,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,40,16,28,14,7,2016
14805,1,Other,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Residence - Apartment/Condo,G,3G1,94.0,8100.0,E,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,0,18,5,2,2,2018
15469,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,37,16,43,22,10,2019
15474,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,354.0,11200.0,N,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,0,0,16,21,4,2018
15536,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,E,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,0,23,40,30,9,2019
15923,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,W,FREDERICK,S,RD,39.198413208000005,-77.244945742,5D,0,47,17,29,17,7,2018
16225,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11200.0,E,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,46,21,28,16,7,2016
16290,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,7,13,33,16,8,2018
16386,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,42,12,39,23,9,2019
16477,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,30,13,25,17,6,2019
16755,2,Crime Against Person,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - Residential,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,28,18,30,27,7,2019
16767,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,E,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,34,10,30,26,7,2019
16831,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Street - In vehicle,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,18,21,31,2,8,2019
16833,2,Crime Against Person,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,E,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,0,4,31,3,8,2019
17138,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11200.0,N,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,10,20,35,26,8,2019
17242,1,Other,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,N,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,0,21,36,7,9,2019
17478,1,Crime Against Person,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,E,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,41,4,38,22,9,2019
17480,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,57,12,38,21,9,2019
17963,1,Crime Against Society,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,93.0,8100.0,E,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,18,1,41,11,10,2019
18065,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,W,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,36,12,29,18,7,2016
18212,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037383899,-77.051682322,4D,0,0,15,4,22,1,2020
18299,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Street - In vehicle,M,5M1,701.0,20900.0,E,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,20,17,29,18,7,2016
18442,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20901.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,S,NEW HAMPSHIRE,W,AVE,39.039814085,-76.990643605,3D,0,30,18,38,18,9,2019
18518,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,W,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,37,23,38,20,9,2019
18734,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,354.0,11200.0,W,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,10,2,29,19,7,2016
19153,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,0,0,11,13,3,2019
19697,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,E,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,0,0,15,11,4,2019
19699,1,Other,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,E,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,0,0,15,11,4,2019
20045,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,0,12,38,21,9,2019
20106,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,S,FREDERICK,W,RD,39.1982954,-77.24489969999999,5D,0,13,15,18,29,4,2020
20354,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039782732,-76.990618606,3D,0,56,20,4,24,1,2020
20943,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,37,22,51,17,12,2019
21008,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,0,20,28,13,7,2016
21730,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,40,13,49,6,12,2019
21731,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,40,13,49,6,12,2019
22106,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,10,15,50,10,12,2019
22120,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,30,14,38,20,9,2019
22143,1,Crime Against Person,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Street - In vehicle,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,23,19,49,7,12,2017
22529,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,37,16,43,22,10,2019
23219,1,Crime Against Property,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Residence - Single Family,G,3G1,94.0,8100.0,N,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,40,11,40,4,10,2019
23947,1,Crime Against Society,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,94.0,8100.0,N,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,0,23,41,12,10,2019
24050,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,W,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,30,12,42,18,10,2019
24186,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,16,18,47,20,11,2019
25016,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,13,21,29,22,7,2016
25185,1,Other,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,W,RD,39.037383899,-77.051682322,4D,0,0,12,5,28,1,2020
25572,1,Crime Against Property,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20814.0,MCPD,Parking Lot - Commercial,G,3G1,93.0,8100.0,N,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,3,1,29,23,7,2016
25961,1,Crime Against Person,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Residence - Apartment/Condo,G,3G1,109.0,8600.0,N,COLESVILLE,E,RD,38.996032383,-77.028170241,3D,0,26,19,47,21,11,2019
